name,handle,bio,location,website,joinDate,followingCount,followerCount,tweetCount,isVerified,profileImageUrl,bannerImageUrl
Adam Wathan,@adamwathan,Creator of @tailwindcss. Listener of Slayer. Austin 3:16.,,tailwindcss.com,Joined July 2012,782,,,true,,https://pbs.twimg.com/profile_banners/716933677/1688672961/1500x500
Guillermo Rauch,@rauchg,@vercel CEO,"San Francisco, CA",rauchg.com,Joined July 2008,111,,,true,,https://pbs.twimg.com/profile_banners/15540222/1696962299/1500x500
Rasmus Andersson,@rsms,"Adventures in software & design. Founder of @playbit_, designer of Inter, @Figma, @Spotify. Eng & design @Facebook. (http://mastodon.social/@rsms)",Berkeley,rsms.me,Joined March 2007,2829,,,true,,https://pbs.twimg.com/profile_banners/2475171/1719969397/1500x500
Dan Hollick,@DanHollick,"design engineer @tailwindcss. tweets about design systems and tools.
prev: @raycastapp",JHB → OSL→ LDN,typefully.com/DanHollick,Joined September 2009,331,,,true,https://pbs.twimg.com/profile_images/1617190243454550016/f2azHnFh_400x400.jpg,https://pbs.twimg.com/profile_banners/77954485/1581577842/1500x500
fasterthanlime,@fasterthanlime,"hi, I'm amos!  they/them  I make articles & videos about how computers work ‍ cool bear's less cool counterpart  be kind",four oreos from heaven,fasterthanli.me,Joined June 2014,398,,,true,,https://pbs.twimg.com/profile_banners/2589716941/1715997209/1500x500
Jon Gjengset,@jonhoo,Rust live-coder and OSS tinkerer who loves teaching. I try to keep a high SNR. Wrote Rust for Rustaceans. At @HelsingAI. Ex AWS. Co-founded @readysetio. he/him,"Oslo, Norway",thesquareplanet.com,Joined March 2009,194,,,false,,https://pbs.twimg.com/profile_banners/25386045/1489783222/1500x500
Felix Geisendörfer,@felixge,"Senior Staff @datadoghq working on Go Profiling, Performance, OpenTelemetry and more.

Before: @Apple, Co-founder @transloadit, @nodejs core dev",Berlin,github.com/felixge,Joined October 2007,1912,,,false,,https://pbs.twimg.com/profile_banners/9599342/1625481028/1500x500
John-David Dalton,@jdalton,"Lodash creator • sometimes TC39 delegate • protecting supply chains at http://Socket.dev • Ex (Bun, Salesforce, Node core, Electron WG, Microsoft)","Own Opinions, Population Me.",github.com/jdalton,Joined April 2008,80,,,false,,https://pbs.twimg.com/profile_banners/14272162/1613760407/1500x500
Addy Osmani,@addyosmani,"Engineering leader, @GoogleChrome • Author • Great user & developer experiences • @ChromiumDev @ChromeDevTools • @____lighthouse • @ChromeUXReport","Mountain View, CA",addyosmani.com,Joined April 2009,2160,,,true,,https://pbs.twimg.com/profile_banners/35432643/1539971599/1500x500
merve,@mervenoyann,open-sourceress at @huggingface  proud Mediterrenean  I work on zero-shot vision & VLMs,Paris,huggingface.co/merve,Joined December 2019,4308,,,true,,https://pbs.twimg.com/profile_banners/1202267633049100291/1640516441/1500x500
